kpt#   1, nband= 80, wtk=  1.00000, kpt=  0.0000  0.0000  0.0000 (reduced coord)
 kpt#  11, nband= 80, wtk=  1.00000, kpt=  0.3333  0.0000  0.0000 (reduced coord)
 -20.87216  -20.87113  -20.53743  -20.52968  -20.09353  -20.07537  -19.56682  -19.53814
 -18.93077  -18.89540  -18.17637  -18.13910  -17.31807  -17.28387  -16.40471  -16.37991
 -15.62513  -15.61381  -15.12041  -15.10934  -14.66857  -14.64804  -14.15136  -14.12169
 -13.82745  -13.81888  -13.55114  -13.51677  -12.92006  -12.90061  -12.86778  -12.83419
 -12.15180  -12.12129  -11.88151  -11.85950  -11.51918  -11.50446  -10.87994  -10.85706
 -10.01102   -9.99188   -9.69592   -9.69118   -9.47330   -9.46711   -9.02187   -8.97779
  -8.96068   -8.92137   -8.82256   -8.82071   -8.48128   -8.46659   -8.02196   -7.98889
  -7.46375   -7.41315   -6.78969   -6.72691   -6.00288   -5.93312   -5.11882   -5.04631
  -4.14458   -4.07425   -3.08815   -3.02269   -2.12569   -2.06372   -1.25291   -1.19258
  -0.42488   -0.36635    0.39340    0.44755    1.19362    1.23937    1.48510    1.51435
 kpt#  12, nband= 80, wtk=  1.00000, kpt=  0.3667  0.0000  0.0000 (reduced coord)
 -20.47118  -20.47018  -20.13759  -20.12996  -19.69631  -19.67840  -19.17463  -19.14638
 -18.54752  -18.51289  -17.81090  -17.77519  -17.00298  -16.97388  -16.09627  -16.09088
 -16.07697  -16.06245  -15.66318  -15.65781  -15.28140  -15.26130  -14.78266  -14.75297
 -14.19755  -14.16197  -13.62601  -13.61669  -13.51077  -13.47480  -12.77210  -12.74107
 -12.66256  -12.64518  -12.11598  -12.10085  -11.64334  -11.62241  -10.70589  -10.68466
 -10.20375  -10.19780   -9.93697   -9.92215   -9.73486   -9.73060   -9.20960   -9.17547
  -9.16056   -9.13066   -8.36105   -8.35953   -8.02868   -8.01520   -7.58397   -7.55351
  -7.04786   -7.00156   -6.40939   -6.35286   -5.67874   -5.61822   -4.87967   -4.82234
  -3.83335   -3.72121   -3.45825   -3.35184   -2.39988   -2.35531   -1.67410   -1.62460
  -0.96010   -0.90754   -0.22276   -0.17111    0.52299    0.56775    1.23436    1.26382
 kpt#  13, nband= 80, wtk=  1.00000, kpt=  0.4000  0.0000  0.0000 (reduced coord)
 -20.03571  -20.03475  -19.70362  -19.69616  -19.26562  -19.24810  -18.75078  -18.72328
 -18.13847  -18.10547  -17.44781  -17.41743  -16.96355  -16.95824  -16.33115  -16.32012
 -16.29472  -16.28160  -15.87038  -15.85531  -15.63016  -15.61061  -15.38546  -15.36119
 -14.81728  -14.78193  -14.12648  -14.09033  -13.37415  -13.34255  -13.31729  -13.30766
 -12.69455  -12.67910  -12.35458  -12.33765  -11.37670  -11.35700  -10.68170  -10.67518
 -10.53081  -10.51223  -10.07694  -10.06957   -9.94276   -9.93426   -9.37725   -9.34358
  -9.32453   -9.29306   -7.86701   -7.86592   -7.54864   -7.53683   -7.12729   -7.10059
  -6.62918   -6.58952   -6.05615   -6.01034   -5.44427   -5.40210   -4.88441   -4.86168
  -3.72545   -3.68153   -3.53844   -3.49364   -2.39523   -2.38442   -1.98034   -1.95143
  -1.44318   -1.40229   -0.81286   -0.76750   -0.13325   -0.09166    0.53576    0.56378
 kpt#  14, nband= 80, wtk=  1.00000, kpt=  0.4333  0.0000  0.0000 (reduced coord)
 -19.56689  -19.56599  -19.23706  -19.22986  -18.80399  -18.78714  -18.30129  -18.27540
 -17.72806  -17.70042  -17.43282  -17.43163  -17.29956  -17.28970  -16.61685  -16.56606
 -16.49736  -16.45376  -16.00003  -15.97073  -15.95553  -15.92572  -15.40822  -15.37543
 -15.20498  -15.18943  -14.71719  -14.68167  -13.95298  -13.92136  -13.25089  -13.23508
 -12.94763  -12.93791  -12.01157  -11.99545  -11.17057  -11.16287  -11.08878  -11.07100
 -10.50090  -10.49035  -10.31692  -10.30250  -10.03644  -10.03187   -9.51147   -9.46434
  -9.45288   -9.41125   -7.34461   -7.34411   -7.04916   -7.03970   -6.66778   -6.64660
  -6.23936   -6.20987   -5.79290   -5.76358   -5.41081   -5.39151   -5.20898   -5.20475
  -3.79594   -3.74352   -3.53513   -3.47835   -2.06182   -2.05974   -2.03871   -2.03210
  -1.79054   -1.76739   -1.33190   -1.29733   -0.74947   -0.71388   -0.13711   -0.11246
 kpt#  15, nband= 80, wtk=  1.00000, kpt=  0.4667  0.0000  0.0000 (reduced coord)
 -19.06691  -19.06611  -18.74096  -18.73419  -18.31827  -18.30277  -17.99088  -17.99050
 -17.85620  -17.83708  -17.68587  -17.67750  -17.48843  -17.47530  -16.81742  -16.76167
 -16.59684  -16.53438  -16.26637  -16.24050  -15.99017  -15.95094  -15.50866  -15.48047
 -15.28230  -15.24643  -14.76093  -14.74543  -14.50501  -14.47364  -13.78252  -13.76649
